content,like,comment,forward,share,date
6/2出新品，你準備好了嗎:墨镜笑脸:,183,17,1,30,5/26/25
:金牌:第一名｜,16,1,154,3,5/19/25
活動截止～所有留言已截圖紀錄，謝謝大家參與！,10,2,837,415,5/12/25
"風雨無阻，只為信仰而走
讓我們看到真正的「台灣情」！",196,5,3,0,5/12/25
邊白沙屯的路上邊找大家一起完成:墨镜笑脸:,456,5,2,24,5/6/25
"謝謝大家的支持
下次我們5/10回鑾見！",1481,3,6,25,5/3/25
"謝謝大家，辛苦了
全數發送完畢！",1094,13,1,11,5/3/25
早安:绿心:一沐日的夥伴們已經在北港準備好了,4523,26,17,186,5/3/25
"「走的是路，傳的是心；一沐日同行，陪你走一路」
我們明天，北港見！",2730,38,9,62,5/2/25
今天來出任務，有遇到我們嗎,392,4,21,0,5/2/25
這是我前三名的品項,858,9,27,402,4/18/25
沒人相信，只好附上喝法了,166,17,4,112,4/1/25
我沒在開玩笑的，今日開賣,3138,112,137,5387,4/1/25
"新品推出
直接稱霸台灣夜市
你猜得到是什麼嗎:想一想:",508,102,9,469,3/31/25
來:火上之心:有沒有什麼問題想問夥伴,794,37,35,437,3/11/25
"竟然大家這麼喜歡粉粿
只好幫他拍一個特輯了",4650,150,138,600,3/8/25
加料之王，你投給誰,18,3,0,0,3/6/25
據說下禮拜會有兩間一沐日試營運,358,70,10,179,2/27/25
"可以走得慢，但不能偷
無論什麼時候
都提醒我們自己記得初心",467,9,6,27,2/21/25
"如果今天威力彩中14億
你打算喝幾杯一沐日？",257,57,5,0,2/17/25
"每次到天氣冷的日子
就會被許願說，粉粿不能做熱的嗎",403,73,1,24,2/8/25
"人家是明天開工拜拜迎財神 :张开双手:
我們是全面開工迎粉粿",200,6,1,0,2/2/25
你記得你第一次喝一沐日是什麼品項嗎,1693,212,44,113,1/31/25
你有內心隱藏版的一沐日品項嗎:想一想:,396,44,13,111,1/29/25
應該大家過年都是一樣的心情吧,70,1,0,0,1/24/25
"一年總會有個幾天喝不到一沐日
應該，還忍得住吧？",137,5,2,0,1/18/25
"謝謝天氣這麼冷，你們還是不放過任何一塊粉粿
只好祝大家聖誕快樂，遇到聖誕老公公",182,4,1,0,12/24/24
有人冬天還是堅持要喝粉粿桂花檸檬的嗎（抖,282,32,5,0,12/16/24
聽不到杰倫,134,18,1,3,12/5/24
18:30 一起吶喊為台灣加油！,80,3,1,0,11/17/24
天冷了，你到一沐日的冬天必喝是什麼,114,38,2,8,11/6/24
我們感激每一個支持，抑或者是指正與指教，因為我們能自由的說出意見，才能聽見每一則寶貴的回應！感謝各位不離不棄的沐粉，才能成就今天的一沐日，更因有著大家的喜愛，一沐日才能繼續前進與成長，謝謝大家!,1425,122,53,190,10/11/24
"不是這樣的吧:融化:
大家都在哀怨竹香的離去",459,70,9,115,9/30/24
那一支「喝起來跟貓一樣的味道」準備走入歷史,539,80,38,495,9/26/24
辦桌第一名肯定是米糕，不服來辯:傲慢:,123,152,1,2,9/25/24
每次海巡的時候都看到大家對一沐日的熱愛,181,39,1,4,9/24/24
"好久沒吃辦桌
已經太想念米糕的味道
有人最近要宴客嗎:忍住泪水:",45,8,1,2,9/19/24
「中秋烤肉配什麼飲料最搭?,139,9,1,5,9/14/24
"明天還有一場珍藏料神便當盒哦
（因為颱風延期的那一場)",73,1,1,0,8/3/24
"擔心還有後續的風雨
緊急做出活動延期！",220,1,5,16,7/26/24
,3,29,181,10,7/24/24
附上營業時間/店休,25,2,546,2,7/24/24
珍藏料神便當盒本人:绿心:,4,2,360,4,7/23/24
有參加到此活動但是沒有兌換到的朋朋，沐編真的很抱歉:失望:也請大家可以在限時內去做飲品的兌換！謝謝大家,61,1,1452,39,7/16/24
支持台灣牧場100%使用鮮乳無其他添加,129,1,3,1,7/14/24
Get！我先開動,654,24,3,105,7/12/24
"我不是來業配的，是真的太多人私訊問我了
只好在這邊統一說明",2703,106,324,2356,7/10/24
"應該大家都知道我們12週年
:闪亮:特別紀念版料神便當盒了吧",295,11,16,0,7/8/24
"最近看了Threads的留言
「一沐日就是一個與世無爭的品牌」",3536,156,13,30,7/7/24
總經理：,610,26,14,60,7/2/24
,97,5,889,19,7/2/24
明天有個重大消息要宣佈,1323,117,9,114,7/1/24
「沒想到一個蕎麥讓大家沒了生活重心，為了拯救大家的靈魂，我們已經在努力恢復蕎麥茶供應！」,781,75,17,98,6/30/24
"昨天跟總經理說，每次發個文都有人在下面敲碗復活…
他叫我統計一下，哪個比較紅",66,29,1,0,6/24/24
"我是草仔粿
不愧是一沐日當家沐編:呵呵:
做個測驗還跟逮丸草仔粿有連結",66,5,1,0,6/20/24
一沐日接龍,176,118,1,0,6/18/24
我們應該是最容易文不對題的小編了,130,26,0,0,6/16/24
今天是星期五晚上，你們要？,105,14,0,0,6/7/24
今天是星期一，你認為適合來一杯？,95,31,0,0,6/3/24
登入,1473,109,35,0,5/14/24
