content,like,comment,share,forward,date
"在台灣東西放著通常不太會不見
-
但機車上掛飲料跟雞排一定會",208,16,1,0,2025-05-24
"八曜新品預告，爸爸媽媽的懷舊味道
-
即將登場，讓我們繼續看下去..",65,2,4,0,2025-05-23
"真冰涼！柚香覺醒307！
-
嘉義文化門市開幕買一送一:红心:",307,5,62,0,2025-05-22
文化夜市等你喔:反手食指向下指:,32,5,1,0,2025-05-20
"曜粉或許已經期待很久了～
酸酸甜甜的..？
-
曜頭今天試喝了一口，丟系季勒逼:红心:",5,1,12,0,2025-05-20
"曜頭市調，到門市超多人點這個:反手食指向下指:
「極韻白奶茶」超搶手～
-
無咖啡因的「燕麥奶」基底
成為大家解渴又想減輕負擔的白奶茶
大熱天來杯冰涼的「極韻白」超爽:红心:",11,1,29,0,2025-05-20
"就像「八曜綠巨人奶茶」販售即將到尾聲
-
這是玉米控不願意面對的事實！",13,4,1,0,2025-05-19
":图钉:【活動方式】
1.標記 3 位朋友
2.留言：「與你來一杯八曜83蜂潮奶茶，520甜甜蜜蜜」
3.轉發這篇貼文（記得設公開！）
-
:日历: 活動時間：即日起至 2025/5/25(日) 23:59
:拉炮彩带: 得獎公告：2025/5/26(一)
:举双手: 中選者須於6/2(一) 23:59前私訊小編核對身份，逾期者將取消資格
(八曜和茶有限公司保留調整活動內容之權利。)
-
:蜂蜜: 八曜83蜂潮奶茶：
用八曜的茶香搭配蜜蜂工坊的台灣天然甜香蜂蜜，是給戀人、閨蜜、朋友最療癒的一杯！
-
:手拉手的一男一女: 趁520，把這份甜送給你最想甜蜜的人！",27,10,82,5,2025-05-18
新竹東區的朋友，久等了:红心:,1635,52,103,0,2025-5-19
"如果世界末日，世界上剩下八曜和茶
-
你會喝什麼？",268,56,1,0,2025-5-18
"飲料是聯繫朋友感情的橋樑
-
尤其是帶杯「柚香覺醒307」給朋友
大熱天，清爽暢聊解悶一下",7,2,9,2,2025-5-18
"晚上20:00
兄弟們要進城
-
「頑童」台中勤美誠品走跳
現場超熱，等到口渴的朋友
-
可以到勤美八曜解渴一下:啤酒:
(曜頭看到一堆人滿頭大汗）",547,4,1,0,2025-5-17
如果八曜擬人化會是？,1929,31,34,0,2025-5-16
"沒辦法，都怪天氣太熱了！
不來點「柚香覺醒307」真的扛不住！",14,2,11,8,2025-5-16
"來八曜也有不同的體驗階段
-
開始體驗「柚香覺醒307」
感受經典「炙燒濃乳308」
進階高級「極韻白奶茶」
消化道調節「ㄦㄦ菌乳茶」
豔香華麗「舞伎406紅茶」
回歸和風「究極308」",29,1,8,41,2025-5-15
"高雄熱河店內部2.0裝修
-
住在附近的粉絲們也別擔心!!
施工期間可以到大昌門市:喇叭:
繼續享受八曜清爽滋味呦:花痴:",7,0,10,0,2025-5-14
感謝舞蹈Nike老師 :红心:,8,0,7,105,2025-5-13
請媽祖喝一杯,57,1,7,17,2025-5-12
真的很震撼,55,0,12,84,2025-5-11
"今天來參加媽祖巡禮的朋友
口渴的朋友，我們有幫大家準備好茶呦",152,2,38,181,2025-5-11
"八曜綠巨人白奶茶
一杯擋一餐，波滋波滋的清甜玉米
讓你買更多玩具:红心:",17,3,34,42,2025-5-10
"意見不合，沒關係
但口味不合，可以選擇
-
極韻白奶茶
基底5種風味讓你挑選",17,1,6,0,2025-5-9
"壓力緊繃的生活節奏
從心理蔓延到身體
-
你需要來一杯無咖啡因的奶茶
極韻白，給自己放鬆一下",13,1,18,25,2025-5-8
母親節給媽媽最好的:红心:,19,1,29,17,2025-5-7
"母情節帶杯八曜回家
好好抱抱媽媽聊聊天:红心:",31,2,11,10,2025-5-4
"看看誰是舞蹈小高手？
送你八曜綠巨人限量獎品
5/9（五）公布名單",24,7,117,308,2025-5-3
"成年人的胃大概能裝1.2～1.6公升
-
代表你最多可以一次喝三杯
「八曜綠巨人白奶茶」:玉米:",628,4,67,286,2025-5-2
"有沒有想過，
是你的咖啡因攝取過量？
-
八曜和茶無咖啡因茶品系列
讓你傍晚解渴清爽無負擔:红心:
-
（極韻白奶茶真的很讚～燕麥奶的基底）",25,1,20,50,2025-5-1
"第一屆很多高手出沒，
不知道第二屆還能看到多少大神出沒~
誰是麥塊小高手？送你限量獎品
-
5/6(二) 公布名單",88,1,200,1515,2025-4-30
"很多迷惘來自外界的紛擾
太多的比較造成無形的壓力
-
來杯八曜和茶，給自己一點空間
用清爽的好茶冷靜一下",33,1,66,23,2025-4-29
"上班太忙？生活趕時間？
-
「八曜綠巨人白奶茶」有飲也有料
讓你邊喝邊吃香甜玉米，偷偷補給能量:红心:",14,0,14,138,2025-4-27
"波滋波滋的超有料:红心:
「八曜綠巨人白奶茶」",14,0,14,363,2025-4-26
"一人一杯八曜，
電腦前情侶一起挖礦蓋房子，
是多麼浪漫的事:玫瑰:",1255,6,361,5258,2025-4-25
"有兄弟姊妹的好處
每個都買一種八曜的口味
:反手食指向右指:全部人能品嘗到",23,2,28,73,2025-4-24
"挑戰手搖加料極限，意外好喝！？
-
你敢挑戰嗎？",190,14,2,0,2025-4-23
"嫌生活不夠刺激
那就來一杯八曜綠巨人白奶茶吧",30,4,14,7,2025-4-21
"台中逛街的朋友
一中、中友、逢甲、勤美
-
都有八曜可以逛逛呦:红心:",11,0,12,4,2025-4-21
"有時候配角可能比主角搶戲
-
就像「八曜綠巨人白奶茶」
玉米波滋的感受總是與白奶茶，
互相爭奪清爽的主角:红心:",23,1,12,10,2025-4-20
為自己未來做選擇，如果你覺得很困難，,196,13,3,0,2025-4-19
"原來是還在喝飲料！
八曜綠巨人白奶茶，玉米還在吸～
-
停不下來！！",27,3,68,261,2025-4-18
"看底下留言有什麼超狂組合？
曜頭，也來拍影片試加測試看看～",4,0,50,0,2025-4-18
尊榮「曜粉俱樂部」入口處,5,0,6,0,2025-4-17
"大家是不是快忘記小雞叭叭了？
-
chin chin ken chin ni aru aru do",123,1,57,204,2025-4-17
"飲料的話是..
八曜的柚香覺醒307啦:红心:",15,1,66,7,2025-4-16
"用以上方法喝「八曜綠巨人白奶茶」
也會跟著跳舞喔:跳舞的男人:",34,1,22,505,2025-4-15
"經典「曼德拉效應」例子
很多人印象中都有看過
這個徒手接球的影片
-
但大多數人印象中當時的場景
是白天，記者是金髮女性
-",508,8,455,3075,2025-4-14
"也可以試試八曜「極韻白」奶茶
極致、好韻、心情不留白",12,0,7,0,2025-4-13
"八曜獨創加料風雲，
綠巨人玉米波滋響。",29,1,43,130,2025-4-12
"奇幻飲料配奇幻影展
雙雙奇幻:红心:",15,0,12,43,2025-4-11
"好好記錄下親朋好友
喝完八曜綠巨人白奶茶的表情:红心:
-
無咖啡因，波滋波滋的清爽感～",51,1,40,59,2025-4-11
"這樣的笑臉
通常出現在喝完八曜綠巨人白奶茶之後",97,1,34,111,2025-4-10
"曜頭最近的口頭禪是「八曜綠巨人」
因為音樂聽了，停不下來..",23,2,29,31,2025-4-9
"如果出了有人想要嗎？
「柚香姐姐+柚香覺醒307+八曜招牌組合包」
-
超過1000分享考慮做出來～",711,26,18,0,2025-4-8
"用一杯..八曜綠巨人白奶茶，
安慰一下朋友，叫他不要看手機了..",22,1,10,10,2025-4-7
