date,content,like,comment,forward,share
2025-5-7,"「𝗛å𝗳𝗮 𝗔𝗱𝗮𝗶！(𝗛𝗲𝗹𝗹𝗼!)」＼喝一口，到關島／
𝟱/𝟳 起 𝟯款芒果聯名飲品沁涼登場:芒果:",33,3,1,17
2025-5-6,"＼陽光、關島、迷客夏／𝗦𝘂𝗺𝗺𝗲𝗿 𝗶𝘀 𝗰𝗼𝗺𝗶𝗻𝗴 .ᐟ.ᐟ
迷客夏夏季杯 𝟱/𝟳 清涼登場:闪亮:",33,1,2,0
2025-4-1,愚人節,2707,45,79,1360
2025-3-4,":闪亮:優惠➋【門市現場限定-雙週驚喜馬拉松】
:蓝色小菱形:𝟯/𝟱~𝟯/𝟭𝟴:蓝色小菱形:
𝟮杯茶拿鐵系列 $𝟵𝟵 (南部價) $𝟭𝟬𝟵(北部價)
:蓝色小菱形:𝟯/𝟭𝟵~𝟰/𝟭:蓝色小菱形:
消費任𝟮杯飲品可加購$𝟮𝟵茶拿鐵(𝗠)
:蓝色小菱形:𝟰/𝟵~𝟰/𝟮𝟮:蓝色小菱形:
消費任𝟯杯飲品送𝟭杯茉莉原淬綠茶
:蓝色小菱形:𝟰/𝟮𝟯~𝟱/𝟲:蓝色小菱形:
消費任𝟭飲品可加購$𝟮𝟬輕纖蕎麥茶
快加入應援祭行列，多重優惠享不完:花痴:",29,2,1,16
2025-2-26,"聽說最近烏龍茶狂熱來襲:火焰:
那怎麼還沒喝過國際認證的 #琥珀高峰烏龍？",58,2,1,3
2025-2-12,"#迷粉福利社
活動期間：即日起~𝟮𝟬𝟮𝟱/𝟮/𝟭𝟯(三) 中午𝟭𝟮:𝟬𝟬
活動辦法：此篇貼文底下@𝘁𝗮𝗴 一位朋友，並寫出三題之正確解答
迷編將抽出𝟯位幸運小迷粉，各送出 #元宵大禮包𝟭份",123,334,10,20
2025-2-10,"迷編要蜂掉！！！
太可愛了吧:花痴::花痴::花痴::花痴::花痴:",29,6,0,0
2025-1-13,"就是蜂蜜 就是「蜂」對決
究竟哪一味最得路人心 ？",10,2,5,0
2025-1-10,發現了嗎:双眼:？,12,3,0,0
2025-1-8,\ 這麼卡哇伊的 蜜蜂杯套 你怎麼還沒有:指向观察者的食指: /,22,1,5,0
2025-1-8,"#就是蜂蜜紅茶:蜂蜜:𝟭𝟬𝟬% 純龍眼蜜結合招牌人氣娜杯紅茶，花蜜香交織焦香茶韻，就是甜而不膩！
#就是蜂蜜拿鐵:蜂蜜:純龍眼蜜融合娜杯紅茶、綠光鮮奶，甘甜滑順的絕佳搭配，就是香醇滑順！
#祕密的蜜蜜:蜂蜜:福岡玄米抹茶遇上柔甜百花蜜，佐以檸檬點綴，豐富酸甜層次，就是場味覺探險！
#小孩愛吃蜂蜜蛋糕:蜂蜜:「甜點系飲品」再+𝟭！以娜杯紅茶拿鐵為基底，融入獨家奶油蜜，絲滑綿密口感就是蜂蜜蛋糕！
#蜂蜜黑糖粉粿:蜂蜜: 就是𝗤彈！蜂蜜芳香ｘ濃郁黑糖，雙重甜蜜滋味推薦搭清爽單茶類飲品！",111,4,1,36
2025-1-6,𝗕𝗲𝗲𝗲𝗲𝗲𝗲𝗲𝗲𝗲𝗲𝗲𝗲𝗲𝗲..... :蜜蜂:,265,3,87,0
2024-12-31,"那個~如果嫌大安森林公園太遠的人
就跟著迷編挑戰一次吸12顆珍珠求新年好運吧！",18,1,0,0
2024-12-31,大安森林公園,61,1,1,4
2024-12-24,聖誕節,35,3,4,0
2024-12-19,"同步感謝每一位支持迷客夏的朋友
綠光公益計劃 「買𝟲杯捐𝟲元」持續進行𝗶𝗻𝗴...
計劃推動以來將邁入第𝟭𝟬屆
我們已支助 :反手食指向右指_较浅肤色:𝟯𝟮 家公益團體
𝟮𝟬𝟮𝟰年度已捐贈 :反手食指向右指_较浅肤色:$𝟱𝟬𝟬多萬
目前累計金額已超過:反手食指向右指_较浅肤色:$𝟰,𝟴𝟬𝟬 萬",40,1,1,2
2024-12-18,chillguy,326,2,1,47
2024-12-17,chillguy,738,4,12,119
2024-12-3,聖誕節,1445,3,16,89
2024-11-26,12強,1036,846,5,105
2024-11-9,"焙茶系盲測悄悄在迷客夏 總部殘酷展開.....
同仁味覺親測，為你揭開焙茶系的風味精隨 吧(?):墨镜笑脸:",23,7,0,0
2024-11-8,台南,21,1,0,0
2024-11-8,"聞香、啜飲、猜測
有人味覺失靈、有人信心十足
究竟誰能精準猜出焙茶風味？",17,1,0,0
2024-11-6,"飲品甜點化創新風味 別錯過:反手食指向下指:
焙茶 X 鮮奶 X 綿密芋泥，打造飲品版蒙布朗 #焙焙芋頭蒙布朗
Q彈口感，帶焦糖&黑糖香氣 #焦糖布蕾",121,9,4,19
2024-11-4,,282,45,8,38
