content,like,comment,share,date,forward
買一送一,45,5,7,5/27/25,0
辦公室日常,13,20,1,5/16/25,0
母親節快樂:花束:,8,49,2,5/10/25,8
"滑個手機，看到社群有人在傳好康
但……全都是亂碼 @ @
有人幫小編解密一下嗎？:带单片眼镜的脸:",84,1,16,5/9/25,0
,2,20,1,5/8/25,1
":脑: 金萱知識問答篇｜你有多懂金萱？
:风吹叶落: 1.金萱是什麼茶？
M. 青茶
A. 綠茶
C. 紅茶
U. 烏龍茶",41,20,2,4/25/25,4
"我有超過300杯的高山金萱茶 你有超頂創意喝法嗎:吐舌:
機會是自己爭取來的
快參加活動:反手食指向右指:",22,2,0,4/23/25,0
手搖控,16,40,20,4/18/25,1
"聽說最近公仔圖很紅:礼物::泰迪熊:
那你知道麻古的蕃茄梅蜜也很紅嗎？:西红柿::爆炸:
是說……
蕃茄到底是蔬菜，還是水果啊？（我們放棄思考）",79,6,1,4/11/25,11
最愛這種挑戰時刻 :肌肉:,88,15,14,4/10/25,0
":热带水果饮料:嗨大家好，我們是麻古的小編:胜利手势:
從今天開始，我們會在 Threads 跟你們說說心裡話～",906,362,2,4/10/25,26
